HOUR_RAINFALL,IMP_SUR_RATIO,SLOPE_AVG,HIGH,F_WEIGHT,FLOOD,Hourly_Rainfall_Weight,Impervious_Surface_Weight,SLOPE_AVG_Weight,HIGH_Weight
3.5,38.2,1.0,1.98,0.14992503748125938,0.0,0.07608695652173914,0.9552388097024256,0.5999520038396928,0.02486812358703843
8.5,38.2,1.0,1.98,0.14992503748125938,0.0,0.18478260869565216,0.9552388097024256,0.5999520038396928,0.02486812358703843
39.0,38.2,1.0,1.98,0.14992503748125938,1.0,0.2549019607843137,0.9552388097024256,0.5999520038396928,0.02486812358703843
78.0,38.2,1.0,1.98,0.14992503748125938,1.0,0.4431818181818182,0.9552388097024256,0.5999520038396928,0.02486812358703843
3.5,61.44,4.5,3.12,0.07501875468867218,0.0,0.07608695652173914,0.46074240719910003,2.699784017278618,0.03918613413715147
8.5,61.44,4.5,3.12,0.07501875468867218,1.0,0.18478260869565216,0.46074240719910003,2.699784017278618,0.03918613413715147
39.0,61.44,4.5,3.12,0.07501875468867218,1.0,0.2549019607843137,0.46074240719910003,2.699784017278618,0.03918613413715147
78.0,61.44,4.5,3.12,0.07501875468867218,1.0,0.4431818181818182,0.46074240719910003,2.699784017278618,0.03918613413715147
3.5,27.63,1.0,2.1,0.07501875468867218,0.0,0.07608695652173914,0.6909227306826706,0.5999520038396928,0.02637528259231349
8.5,27.63,1.0,2.1,0.07501875468867218,0.0,0.18478260869565216,0.6909227306826706,0.5999520038396928,0.02637528259231349
39.0,27.63,1.0,2.1,0.07501875468867218,1.0,0.2549019607843137,0.6909227306826706,0.5999520038396928,0.02637528259231349
78.0,27.63,1.0,2.1,0.07501875468867218,1.0,0.4431818181818182,0.6909227306826706,0.5999520038396928,0.02637528259231349
3.5,27.63,1.0,3.47,0.07501875468867218,0.0,0.07608695652173914,0.6909227306826706,0.5999520038396928,0.043582014569203714
8.5,27.63,1.0,3.47,0.07501875468867218,0.0,0.18478260869565216,0.6909227306826706,0.5999520038396928,0.043582014569203714
39.0,27.63,1.0,3.47,0.07501875468867218,1.0,0.2549019607843137,0.6909227306826706,0.5999520038396928,0.043582014569203714
78.0,27.63,1.0,3.47,0.07501875468867218,1.0,0.4431818181818182,0.6909227306826706,0.5999520038396928,0.043582014569203714
3.5,27.63,7.75,3.92,0.07501875468867218,0.0,0.07608695652173914,0.6909227306826706,4.649628029757619,0.04923386083898518
8.5,27.63,7.75,3.92,0.07501875468867218,0.0,0.18478260869565216,0.6909227306826706,4.649628029757619,0.04923386083898518
