SEQ,ADM_CD,ZONE,DONG,DISTRICT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_TIME,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,HOUR_RAINFALL,PRECI_YYMMDDHH,PRECI_HH,Hourly_Rainfall_Weight,HIGH_Weight,SLOPE_AVG_Weight
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,78.0,20090716,8,0.4431818181818182,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,54.5,20090716,9,0.3562091503267974,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,46.0,20090716,10,0.3006535947712418,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,15.5,20090716,11,0.2152777777777778,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,6.0,20090716,12,0.13043478260869565,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,2.5,20090716,13,0.05434782608695652,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,14,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,15,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,16,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,17,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,18,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,19,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,20,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,21,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,22,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,23,0.0,0.03918613413715147,
30582,2650010500,수영구,남천동,남천지구,20090716,20090716,600.0,1000.0,4.0,0,2,7,4.5,3.12,0.0,20090716,24,0.0,0.03918613413715147,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,1.5,20090716,1,0.03260869565217391,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,5.0,20090716,2,0.10869565217391304,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,3.0,20090716,3,0.06521739130434782,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,3.5,20090716,4,0.07608695652173914,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,3.5,20090716,5,0.07608695652173914,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,8.5,20090716,6,0.18478260869565216,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,39.0,20090716,7,0.2549019607843137,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,78.0,20090716,8,0.4431818181818182,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,54.5,20090716,9,0.3562091503267974,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,46.0,20090716,10,0.3006535947712418,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,15.5,20090716,11,0.2152777777777778,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,6.0,20090716,12,0.13043478260869565,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,2.5,20090716,13,0.05434782608695652,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,14,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,15,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,16,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,17,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,18,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,19,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,20,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,21,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,22,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,23,0.0,0.02637528259231349,
30583,2635010800,해운대구,송정동,송정지구1-1,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,2.1,0.0,20090716,24,0.0,0.02637528259231349,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,1.5,20090716,1,0.03260869565217391,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,5.0,20090716,2,0.10869565217391304,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,3.0,20090716,3,0.06521739130434782,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,3.5,20090716,4,0.07608695652173914,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,3.5,20090716,5,0.07608695652173914,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,8.5,20090716,6,0.18478260869565216,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,39.0,20090716,7,0.2549019607843137,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,78.0,20090716,8,0.4431818181818182,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,54.5,20090716,9,0.3562091503267974,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,46.0,20090716,10,0.3006535947712418,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,15.5,20090716,11,0.2152777777777778,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,6.0,20090716,12,0.13043478260869565,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,2.5,20090716,13,0.05434782608695652,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,14,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,15,0.0,0.043582014569203714,
30584,2635010800,해운대구,송정동,송정지구1-2,20090716,20090716,700.0,1100.0,4.0,0,7,15,11.0,3.47,0.0,20090716,16,0.0,0.043582014569203714,
