CODE,ZONE,PUMP_RATIO,F_WEIGHT,Impervious_Surface_Weight
2644000000,강서구,1.1899610558199913e-07,0.07501875468867217,0.609
2641000000,금정구,3.0427506465845126e-08,0.016666666666666666,0.47350000000000003
2671000000,기장군,1.3643805712206659e-08,0.016666666666666666,1.1561561561561562
2629000000,남구,2.565982404692082e-07,0.016666666666666666,0.3886888688868887
2617000000,동구,1.9821605550049554e-07,0.016666666666666666,0.43434570678665163
2626000000,동래구,2.3995200959808034e-07,0.016666666666666666,0.44266966629171345
2623000000,부산진구,0.1,0.016666666666666666,0.34435943594359436
2632000000,북구,1.5090543259557345e-07,0.016666666666666666,0.55425
2653000000,사상구,3.8620689655172415e-07,0.016666666666666666,0.30175517551755177
2638000000,사하구,1.485884101040119e-07,0.14992503748125938,0.9552388097024256
2614000000,서구,0.1,0.016666666666666666,0.3043054305430543
2650000000,수영구,0.1,0.07501875468867217,0.46074240719910003
2647000000,연제구,4.11522633744856e-07,0.07501875468867217,0.4673415823022121
2620000000,영도구,0.1,0.14992503748125938,0.34330933093309335
2611000000,중구,0.1,0.0,0.6119985001874765
2635000000,해운대구,2.102446483180428e-07,0.07501875468867217,0.6909227306826706
