Unnamed: 0,SEQ,DISTRICT,ADM_CD,FLUD_TIME,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,ZONE,DONG,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,HOUR_RAINFALL,PRECI_YYMMDDHH,PRECI_HH
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,2.1,20190720,1
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,5.1,20190720,2
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,10.6,20190720,3
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,8.0,20190720,4
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,9.1,20190720,5
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,10.4,20190720,6
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,4.8,20190720,7
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,9.6,20190720,8
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.3,0.0,2,1.0,3.66,18.7,20190720,9
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,15.2,20190720,10
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,13.6,20190720,11
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,4.9,20190720,12
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,4.1,20190720,13
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,4.4,20190720,14
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,13.7,20190720,15
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,15.0,20190720,16
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,18.2,20190720,17
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,1.0,20190720,18
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,0.0,20190720,19
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,0.9,20190720,20
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,0.8,20190720,21
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,0.5,20190720,22
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,1.6,20190720,23
126,101997,신금로 지구,2600000000,5.0,20190720,20190720,1000.0,1500.0,연제구,연산동,0.0,0.0,2,1.0,3.66,0.8,20190720,24
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,2.3,20161005,1
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.5,20161005,2
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,3.0,20161005,3
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,7.6,20161005,4
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,3.8,20161005,5
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,10.6,20161005,6
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,5.3,20161005,7
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,6.5,20161005,8
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.8079999999999999,7.0,15,11.0,1.92,36.5,20161005,9
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,15.1,20161005,10
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,1.6,20161005,11
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,2.2,20161005,12
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,13
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,14
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,15
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,16
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,17
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,18
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,19
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,20
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,21
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,22
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,23
113,90647,송도해수욕장,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,7.0,15,11.0,1.92,0.0,20161005,24
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,2.3,20161005,1
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.5,20161005,2
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,3.0,20161005,3
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,7.6,20161005,4
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,3.8,20161005,5
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,10.6,20161005,6
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,5.3,20161005,7
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,6.5,20161005,8
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.8,15.0,30,22.5,6.74,36.5,20161005,9
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,15.1,20161005,10
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,1.6,20161005,11
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,2.2,20161005,12
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,13
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,14
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,15
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,16
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,17
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,18
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,19
112,90645,암남공원,2614000000,2.0,20161005,20161005,900.0,1100.0,서구,암남동,0.0,15.0,30,22.5,6.74,0.0,20161005,20
