Dong,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
가야동,0.15534623514789359,0.15534623514789359,0.15534623514789359,0.15534623514789359,0.15534623514789359,0.15534623514789359,0.15534623514789359,0.1668275638402811,0.18498524169014563,0.15534623514789359,0.1589835998431977,0.15534623514789359,0.1589835998431977,0.1628080844114303,0.1628080844114303,0.45418027537589245,0.5372313090611012,0.4601296992883015,0.1668275638402811,0.5142928013594863,0.5142928013594863,0.795083617593672,0.7663724813855717,0.7465508884732964,0.6692194836655281,0.5372313090611012,0.15534623514789359,0.15534623514789359
감전동,0.11865461158320056,0.11865461158320056,0.11865461158320056,0.11865461158320056,0.11865461158320056,0.11865461158320056,0.11865461158320056,0.12611880768325062,0.14703070300102403,0.11865461158320056,0.12232308566442027,0.11865461158320056,0.12232308566442027,0.12232308566442027,0.12611880768325062,0.14703070300102403,0.16602124005643454,0.13409646048461848,0.12232308566442027,0.13004302236141366,0.13409646048461848,0.82646668667992,0.8028021913694557,0.7648802705027195,0.267768479339147,0.11865461158320056,0.11865461158320056,0.11865461158320056
감천동,0.07718941447099835,0.07718941447099835,0.07718941447099835,0.07718941447099835,0.07718941447099835,0.07718941447099835,0.07919535735520702,0.08330125467210651,0.08968465449439494,0.07919535735520702,0.07718941447099835,0.07919535735520702,0.07919535735520702,0.07919535735520702,0.08123285381819167,0.28670402829885633,0.2939277525280561,0.09408070522621301,0.08968465449439494,0.09631822151897443,0.27733801578685563,0.6767737150951963,0.6560481665622002,0.3314268994523589,0.907208426811824,0.6580630708557068,0.3314268994523589,0.07718941447099835
거제동,0.10731068917888678,0.10324361137540805,0.10324361137540805,0.10324361137540805,0.10324361137540805,0.10324361137540805,0.10324361137540805,0.10324361137540805,0.12467654441483984,0.10731068917888678,0.10324361137540805,0.10731068917888678,0.10731068917888678,0.10731068917888678,0.1114950453106594,0.5778078362957146,0.31004077160849774,0.5672307119246629,0.5778078362957146,0.32798186128712603,0.5720854558118159,0.7991924240359201,0.8364084156747615,0.7748824056485248,0.7848003262230949,0.10731068917888678,0.10324361137540805,0.10324361137540805
광안동,0.13748870100414382,0.13369513178798959,0.13369513178798959,0.13369513178798959,0.13369513178798959,0.13369513178798959,0.13369513178798959,0.13369513178798959,0.19477127730040455,0.13369513178798959,0.13748870100414382,0.13748870100414382,0.13369513178798959,0.14133179788436998,0.14133179788436998,0.5578288951866394,0.33986294228409825,0.6286886141436593,0.33179054637645683,0.6946256248122036,0.6345926672409552,0.6969553575115371,0.9043675566930427,0.6256298491963364,0.6823326185559773,0.13369513178798959,0.13369513178798959,0.13369513178798959
괘법동,0.11963644241487048,0.11963644241487048,0.11963644241487048,0.11963644241487048,0.11963644241487048,0.11963644241487048,0.11963644241487048,0.1272232931659949,0.14847829344887017,0.11963644241487048,0.12336504546469251,0.11963644241487048,0.12336504546469251,0.12336504546469251,0.1272232931659949,0.14847829344887017,0.16776498971505555,0.13533266095844218,0.12336504546469251,0.13121230666505374,0.13533266095844218,0.8281144305706747,0.8048153209579276,0.7673190245880703,0.2700712815876829,0.11963644241487048,0.11963644241487048,0.11963644241487048
괴정동,0.06372362849778426,0.06372362849778426,0.06372362849778426,0.06372362849778426,0.06372362849778426,0.06372362849778426,0.06571335580292466,0.06981989059755103,0.07628871612044191,0.06571335580292466,0.06372362849778426,0.06571335580292466,0.06571335580292466,0.06571335580292466,0.06774560914589708,0.1727020303485024,0.18040516811002835,0.08079868258986596,0.07628871612044191,0.08311022015507559,0.16284123421766614,0.49947519927896294,0.6325716068782675,0.22195625194875457,0.7651099218346193,0.43439006143860026,0.22195625194875457,0.06372362849778426
구서동,0.11540446864373632,0.11540446864373632,0.15793943881153405,0.11540446864373632,0.11540446864373632,0.11540446864373632,0.11540446864373632,0.15793943881153405,0.16063047609216174,0.11540446864373632,0.15882204177726636,0.15793943881153405,0.15793943881153405,0.15971902814273886,0.15882204177726636,0.38658723331033756,0.1634522801512559,0.387631291254418,0.16155645782650602,0.1634522801512559,0.3897640382572987,0.44929644351472176,0.6097076816657091,0.3976955011048983,0.629776974577479,0.15793943881153405,0.11540446864373632,0.11540446864373632
구평동,0.15468620780308495,0.15468620780308495,0.15468620780308495,0.15468620780308495,0.15468620780308495,0.15468620780308495,0.1579974846577503,0.16470959471675534,0.17497205499348834,0.1579974846577503,0.15468620780308495,0.1579974846577503,0.1579974846577503,0.1579974846577503,0.16133925045004605,0.3436605112587427,0.3540203009389686,0.18191891920399367,0.17497205499348834,0.18541740746599095,0.4748607542707973,0.8554835021635525,0.9117655191937015,0.6681462138775199,0.9785916567501225,0.8375662275856274,0.6681462138775199,0.15468620780308495
구포동,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20418113069644575,0.21352774896627502,0.20268312098226093,0.20268312098226093,0.20268312098226093,0.20418113069644575,0.20569659010026717,0.20418113069644575,0.21514299978658674,0.21514299978658674,0.21352774896627502,0.20569659010026717,0.20877899537323083,0.20877899537323083,0.47324758233222397,0.430505671240762,0.4399890830674615,0.430505671240762,0.20268312098226093,0.20268312098226093,0.20268312098226093
