DONG,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
가야동,0.5029252551796568,0.5029252551796568,0.5029252551796568,0.5029252551796568,0.5029252551796568,0.5029252551796568,0.5029252551796568,0.5195330981340051,0.5834403299632949,0.5029252551796568,0.5184945900495825,0.5029252551796568,0.5184945900495825,0.519007508690859,0.519007508690859,0.5668507118859725,0.5942537435103639,0.5674840134562616,0.5195330981340051,0.5687988301137186,0.5687988301137186,0.5953318873578831,0.600676562992839,0.5965598638954975,0.5988489515213202,0.5942537435103639,0.5029252551796568,0.5029252551796568
감전동,0.45747580198847015,0.45747580198847015,0.45747580198847015,0.45747580198847015,0.45747580198847015,0.45747580198847015,0.45747580198847015,0.4527839441429319,0.5620739770332926,0.45747580198847015,0.45518072313910096,0.45747580198847015,0.45518072313910096,0.45518072313910096,0.4527839441429319,0.5620739770332926,0.2853405408048253,0.4438381774258668,0.45518072313910096,0.4502870991044461,0.4438381774258668,0.16024195346435216,0.1721252876349208,0.19621337106647507,0.2463412749977311,0.45747580198847015,0.45747580198847015,0.45747580198847015
감천동,0.1184082401291343,0.1184082401291343,0.1184082401291343,0.1184082401291343,0.1184082401291343,0.1184082401291343,0.11885465409720276,0.11984530809403203,0.2510765689771995,0.11885465409720276,0.1184082401291343,0.11885465409720276,0.11885465409720276,0.11885465409720276,0.11933328916684353,0.22117754037877121,0.23432391537238764,0.2523745958045012,0.2510765689771995,0.2530835772462096,0.318614611513523,0.2414662093792781,0.26567859623868634,0.2379948646977474,0.5556217945743549,0.3358576662342899,0.2379948646977474,0.1184082401291343
거제동,0.28594461305980917,0.28595942540383773,0.28595942540383773,0.28595942540383773,0.28595942540383773,0.28595942540383773,0.28595942540383773,0.28595942540383773,0.28586568188159517,0.28594461305980917,0.28595942540383773,0.28594461305980917,0.28594461305980917,0.28594461305980917,0.28592426750887573,0.2637883577964408,0.26241853763951584,0.2624694744750453,0.2637883577964408,0.15926455403985285,0.26250173238099617,0.29553610794853225,0.2957317231516901,0.16292094031289622,0.16113009901163067,0.28594461305980917,0.28595942540383773,0.28595942540383773
광안동,0.39202325253773573,0.3894652688560813,0.3894652688560813,0.3894652688560813,0.3894652688560813,0.3894652688560813,0.3894652688560813,0.3894652688560813,0.4043716267789756,0.3894652688560813,0.39202325253773573,0.39202325253773573,0.3894652688560813,0.39640408146353556,0.39640408146353556,0.43857931705972286,0.4179667604324099,0.46697639676199215,0.41251285318317105,0.4884990946207421,0.47000196009268685,0.497106251880588,0.8216240771738608,0.46543315618828623,0.47294207002207755,0.3894652688560813,0.3894652688560813,0.3894652688560813
괘법동,0.4574766538462145,0.4574766538462145,0.4574766538462145,0.4574766538462145,0.4574766538462145,0.4574766538462145,0.4574766538462145,0.45278484742792224,0.5620750773917476,0.4574766538462145,0.4551816010398032,0.4574766538462145,0.4551816010398032,0.4551816010398032,0.45278484742792224,0.5620750773917476,0.2853416459285263,0.44383912887198274,0.4551816010398032,0.4502880269590468,0.44383912887198274,0.16024262378690457,0.17212606534163166,0.19621432945025435,0.24634234602340563,0.4574766538462145,0.4574766538462145,0.4574766538462145
괴정동,0.07358302625135489,0.07358302625135489,0.07358302625135489,0.07358302625135489,0.07358302625135489,0.07358302625135489,0.07353256745891111,0.07345238103215701,0.07339229392513298,0.07353256745891111,0.07358302625135489,0.07353256745891111,0.07353256745891111,0.07353256745891111,0.07348884872878342,0.07376776315570273,0.05462724192661839,0.07339995675673647,0.07339229392513298,0.07342033395920802,0.07349834995215779,0.11914695401153966,0.12536544873076425,0.11932364043268516,0.22842165519623894,0.19064488201484847,0.11932364043268516,0.07358302625135489
구서동,0.05515165203585585,0.05515165203585585,0.05540208658460411,0.05515165203585585,0.05515165203585585,0.05515165203585585,0.05515165203585585,0.05540208658460411,0.08282923096511527,0.05515165203585585,0.055675354465920555,0.05540208658460411,0.05540208658460411,0.055971812349866784,0.055675354465920555,0.4415423581327528,0.11369531322429016,0.4479185992043124,0.09507782282191896,0.11369531322429016,0.45544237912137464,0.47568702331633184,0.4552293080657209,0.4476869075479408,0.6338794042696745,0.05540208658460411,0.05515165203585585,0.05515165203585585
구평동,0.18778067467941334,0.18778067467941334,0.18778067467941334,0.18778067467941334,0.18778067467941334,0.18778067467941334,0.20600646515549986,0.46071528844989623,0.3732296446141627,0.20600646515549986,0.18778067467941334,0.20600646515549986,0.20600646515549986,0.20600646515549986,0.20834208277209076,0.3781485677054466,0.5434452699798897,0.3766279518165117,0.3732296446141627,0.3791169084457167,0.39188063804603573,0.5450857921326289,0.5670545074698772,0.5497348175875765,0.6296785774954918,0.5798891018504623,0.5497348175875765,0.18778067467941334
구포동,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936379715147043,0.10936318505401207,0.10936387563340164,0.10936387563340164,0.10936387563340164,0.10936379715147043,0.1093637127086427,0.10936379715147043,0.11672416587974448,0.11672416587974448,0.10936318505401207,0.1093637127086427,0.10936352420212314,0.10936352420212314,0.09110147753581996,0.09110372583084458,0.0977250853026526,0.09110372583084458,0.10936387563340164,0.10936387563340164,0.10936387563340164
금사동,0.6240839419185741,0.6240839419185741,0.6259564547034853,0.6240839419185741,0.6240839419185741,0.6240839419185741,0.6240839419185741,0.6259564547034853,0.6315807164607619,0.6240839419185741,0.6278317610841141,0.6259564547034853,0.6259564547034853,0.6297073708810215,0.6278317610841141,0.6826908756861506,0.6327667016378467,0.6843618075562076,0.6334491669064465,0.6327667016378467,0.6876925941518423,0.7238262656841981,0.7229396340235319,0.7191196395682471,0.7685444476083119,0.6259564547034853,0.6240839419185741,0.6240839419185741
