CODE,ZONE,F_WEIGHT,PUMP_RATIO,Impervious_Surface_Weight
2644000000,강서구,0.07501875468867217,1.1899610558199914e-08,0.609
2641000000,금정구,0.016666666666666666,3.0427506465845124e-09,0.47350000000000003
2671000000,기장군,0.016666666666666666,1.3643805712206657e-09,1.1561561561561562
2629000000,남구,0.016666666666666666,2.565982404692082e-08,0.3886888688868887
2617000000,동구,0.016666666666666666,1.9821605550049554e-08,0.43434570678665163
2626000000,동래구,0.016666666666666666,2.3995200959808034e-08,0.44266966629171345
2623000000,부산진구,0.016666666666666666,0.0,0.34435943594359436
2632000000,북구,0.016666666666666666,1.5090543259557344e-08,0.55425
2653000000,사상구,0.016666666666666666,3.8620689655172417e-08,0.30175517551755177
2638000000,사하구,0.14992503748125938,1.4858841010401189e-08,0.9552388097024256
2614000000,서구,0.016666666666666666,0.0,0.3043054305430543
2650000000,수영구,0.07501875468867217,0.0,0.46074240719910003
2647000000,연제구,0.07501875468867217,4.11522633744856e-08,0.4673415823022121
2620000000,영도구,0.14992503748125938,0.0,0.34330933093309335
2611000000,중구,0.0,0.0,0.6119985001874765
2635000000,해운대구,0.07501875468867217,2.102446483180428e-08,0.6909227306826706
