SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CITY,ZONE,DONG,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
90551.0,2.0,삼성지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 하류와 해안이 접하는 지리적 특성으로 인한 수위 상승- 집중호우로 하천 수위 상승과 조수 만조가 겹쳐 하천 범람- 하천 수위 상승으로 내수배제 불량3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 4. 저지대 주거지를 중심으로 침수피해 발생,2671000000,201501.0,3.0,0.2~1.0,0.0,20140825.0,20140825.0,1500.0,1800.0,3.4,부산광역시,기장군,일광면,2.0,7.0,4.5,2.03
90547.0,2.0,좌천지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 저수지 붕괴/ 2개 하천(덕선천/ 좌광천)의 합류지점 및 조수 만조로 인해 침수 피해 발생3. 피해지역은 최근 새로이 형성된 도시지역임,2671000000,201501.0,3.0,0.3~1.8,0.0,20140825.0,20140825.0,1500.0,1800.0,11.12,부산광역시,기장군,장안읍,2.0,7.0,4.5,4.92
90554.0,2.0,예림지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 하천 제방 유실로 인한 하천 범람- 집중호우로 인한 좌광천 제방 유실로 하천 범람 발생- 좌광천 남측의 상대적으로 높은 도로로 인해 반대편의 농지 침수,2671000000,201501.0,3.0,0.3~1.3,0.0,20140825.0,20140825.0,1500.0,1800.0,38.71,부산광역시,기장군,정관읍,2.0,7.0,4.5,35.56
90546.0,2.0,철마지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 집중호우로 인한 하천(철마천) 수위 상승 및 하천 범람- 하천 주변 주거지역 및 농경지역 침수3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2671000000,201501.0,3.0,0.2~0.8,0.0,20140825.0,20140825.0,1500.0,1800.0,67.34,부산광역시,기장군,철마면,2.0,7.0,4.5,77.86
30907.0,2.0,용호지구,집중호우,집중호우로 인한 주택침수,2629000000,201201.0,6.0,0.2M ~ 1.8M,0.0,20110727.0,20110727.0,700.0,1300.0,14.5M,부산광역시,남구,용호동,0.0,2.0,1.0,3.77
101472.0,2.0,부산진시장,2017년 9월 동구 집중호우,,2617000000,201808.0,3.0,0.5,0.0,20170911.0,20170911.0,800.0,1100.0,2.5~2.7m,부산광역시,동구,범일동,0.0,2.0,1.0,2.96
90559.0,2.0,명륜2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 인근 도로에서 많은 양의 우수가 유입되었으나 배수가 원활하지 못해   침수 발생,2626000000,201501.0,4.0,0.5~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,6.5,부산광역시,동래구,명륜동,0.0,2.0,1.0,7.64
90564.0,2.0,사직1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천의 만수위로 사직2동 일원의 우수가 하수관거에서 배수불량으로 흐름이 원활하지 못하여 침수 발생,2626000000,201501.0,4.0,0.3~0.5,0.0,20140825.0,20140825.0,1500.0,1900.0,5.5,부산광역시,동래구,사직동,1.0,5.0,3.0,6.53
90565.0,2.0,수안1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 집수된 우수가 동래경찰서 및 수안로일원의 저지대로 유입되어 침수 발생,2626000000,201501.0,4.0,0.3~1.0,0.0,20140825.0,20140825.0,1500.0,1900.0,4.9,부산광역시,동래구,수안동,0.0,2.0,1.0,4.69
90557.0,2.0,안락2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량4. 온천천 카페거리 일원의 저지대로 유입된 우수의 배수가 원활하지 못하여 침수 발생,2626000000,201501.0,4.0,0.3~0.5,0.0,20140825.0,20140825.0,1500.0,1900.0,4,부산광역시,동래구,안락동,7.0,15.0,11.0,5.14
