,PUMP_RATIO,Hourly_Rainfall_Weight,Impervious_Surface_Weight,SLOPE_AVG_Weight,HIGH_Weight,F_WEIGHT,FLOOD
0,4.11522633744856e-07,0.10434782608695652,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,0
1,4.11522633744856e-07,0.20869565217391303,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,0
2,4.11522633744856e-07,0.2597222222222222,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,1
3,4.11522633744856e-07,0.010869565217391304,0.4673415823022121,2.699784017278618,0.07221803566942979,0.07501875468867217,0
4,4.11522633744856e-07,0.10869565217391304,0.4673415823022121,2.699784017278618,0.07221803566942979,0.07501875468867217,1
5,4.11522633744856e-07,0.13043478260869565,0.4673415823022121,2.699784017278618,0.07221803566942979,0.07501875468867217,1
6,4.11522633744856e-07,0.2708333333333333,0.4673415823022121,2.699784017278618,0.07221803566942979,0.07501875468867217,1
7,4.11522633744856e-07,0.5382165605095541,0.4673415823022121,2.699784017278618,0.07221803566942979,0.07501875468867217,1
8,4.11522633744856e-07,0.010869565217391304,0.4673415823022121,2.699784017278618,0.07786988193921125,0.07501875468867217,0
9,4.11522633744856e-07,0.10869565217391304,0.4673415823022121,2.699784017278618,0.07786988193921125,0.07501875468867217,0
10,4.11522633744856e-07,0.13043478260869565,0.4673415823022121,2.699784017278618,0.07786988193921125,0.07501875468867217,1
11,4.11522633744856e-07,0.2708333333333333,0.4673415823022121,2.699784017278618,0.07786988193921125,0.07501875468867217,1
12,4.11522633744856e-07,0.5382165605095541,0.4673415823022121,2.699784017278618,0.07786988193921125,0.07501875468867217,1
13,4.11522633744856e-07,0.10434782608695652,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,0
14,4.11522633744856e-07,0.20869565217391303,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,1
15,4.11522633744856e-07,0.2597222222222222,0.4673415823022121,0.5999520038396928,0.045968349660889224,0.07501875468867217,1
16,4.11522633744856e-07,0.010869565217391304,0.4673415823022121,2.699784017278618,0.07912584777694046,0.07501875468867217,0
17,4.11522633744856e-07,0.10869565217391304,0.4673415823022121,2.699784017278618,0.07912584777694046,0.07501875468867217,0
18,4.11522633744856e-07,0.13043478260869565,0.4673415823022121,2.699784017278618,0.07912584777694046,0.07501875468867217,1
19,4.11522633744856e-07,0.2708333333333333,0.4673415823022121,2.699784017278618,0.07912584777694046,0.07501875468867217,1
20,4.11522633744856e-07,0.5382165605095541,0.4673415823022121,2.699784017278618,0.07912584777694046,0.07501875468867217,1
