SEQ,FLUD_CAUSE,F_DSTRC_NM,F_DSSTR_NM,F_CUE_DTL,ADM_CD,WRITNG_YM,FLUD_TIME,FLUD_DPWT,DMG_AMOUNT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_WAL,CODE,ZONE,DONG
90593,2,덕천1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.5m(최저)~0.6m(최고),0.0,20140825,20140825,1400,1600,EL. 5.8m,2632000000,북구,
90673,1,민락1지구,태풍 '차바'에 의한 침수피해,1. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수 및 해수의 유입으로 인해 관거용량을 초과하여 배수 불량2. 해수면 만조위 및 태풍의 영향으로 월파한 해수가 저지대로 유입되어 침수 발생.,2650000000,201702.0,2.0,0.3m~0.5m,8707000300.0,20161005,20161005,900,1100,79408.8,2650000000,수영구,
90595,2,덕천3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.3m(최저)~0.6m(최고),0.0,20140825,20140825,1400,1600,EL. 53.0m,2632000000,북구,
90594,2,덕천2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.4m(최저)~0.7m(최고),0.0,20140825,20140825,1400,1600,EL. 8.0m,2632000000,북구,
90596,2,구포1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.3m(최저)~0.8m(최고),0.0,20140825,20140825,1400,1600,EL. 5.2m,2632000000,북구,
90597,2,구포2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.4m(최저)~1.3m(최고),0.0,20140825,20140825,1400,1600,EL. 27.6m,2632000000,북구,
90598,2,구포3지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2632000000,201501.0,2.0,0.4m(최저)~1.1m(최고),0.0,20140825,20140825,1400,1600,EL. 117.8m,2632000000,북구,
90516,2,수영1지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 수영강 수위 상승으로 범람 위기2. 하천 수위 상승으로 인한 내수배제 불량- 수영강 수위 상승으로 배수 지연3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2650000000,201412.0,2.0,0.2m(최저)~0.8m(최고),0.0,20140825,20140825,1500,1700,EL. 2.8m,2650000000,수영구,
90517,2,수영2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생2. 지표수 및 노면수가 저지대로 일시 유입3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량,2650000000,201412.0,2.0,0.2m(최저)~0.7m(최고),0.0,20140825,20140825,1500,1700,EL. 5.7m,2650000000,수영구,
90520,2,연제2지구,집중호우로 인한 침수 피해,1. 부산지역의 기록적인 폭우- 2014.8.25. 약 2~3시간 동안 집중호우 발생- 온천천 제방 한계 수위까지 물이 불어남.2. 하천 수위 상승으로 인한 내수배제 불량- 온천천 수위 상승으로 배수 지연 및 역류 발생3. 하수/ 우수관거 용량 부족- 짧은 시간동안 많은 우수의 유입으로 인해 관거용량을 초과하여 배수 불량 및 역류 발생,2647000000,201412.0,2.0,0.2m(최저)~0.8m(최고),0.0,20140825,20140825,1500,1700,EL. 5.1m,2647000000,연제구,
