SEQ,ADM_CD,ZONE,DONG,DISTRICT,F_BEGIN_DE,F_END_DE,F_BEGIN_TM,F_END_TM,FLUD_TIME,FLUD_DPWT,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH
90557,2626000000,동래구,안락동,안락2지구,20140825,20140825,1500,1900,4,0,7,15,11,5.14
90558,2626000000,동래구,명륜동,명륜1지구,20140825,20140825,1500,1900,4,0,15,30,22.5,9.37
90559,2626000000,동래구,명륜동,명륜2지구,20140825,20140825,1500,1900,4,0,15,30,22.5,7.64
90560,2626000000,동래구,온천동,온천1지구,20140825,20140825,1500,1900,4,0,15,30,22.5,11.22
90561,2626000000,동래구,온천동,온천2지구,20140825,20140825,1500,1900,4,0,15,30,22.5,7.75
90562,2626000000,동래구,온천동,온천3지구,20140825,20140825,1500,1900,4,0,15,30,22.5,7.86
90563,2626000000,동래구,온천동,온천4지구,20140825,20140825,1500,1900,4,0,15,30,22.5,10.81
90564,2626000000,동래구,사직동,사직1지구,20140825,20140825,1500,1900,4,0,7,15,11,6.53
90565,2626000000,동래구,수안동,수안1지구,20140825,20140825,1500,1900,4,0,15,30,22.5,4.69
90566,2623000000,부산진구,가야동,가야동1지구,20140825,20140825,1500,1700,2,0,15,30,22.5,33.43
90567,2653000000,사상구,괘법동,덕포동 1지구,20140825,20140825,1500,1700,2,0,7,15,11,2.44
90568,2653000000,사상구,주례동,감전동 1지구,20140825,20140825,1500,1700,2,0,15,30,22.5,1.36
90569,2653000000,사상구,감전동,감전동 2지구,20140825,20140825,1500,1700,2,0,15,30,22.5,2.44
90570,2653000000,사상구,괘법동,괘법동 1지구,20140825,20140825,1500,1700,2,0,7,15,11,2.76
90571,2653000000,사상구,감전동,괘법동 2지구,20140825,20140825,1500,1700,2,0,7,15,11,1.74
90572,2653000000,사상구,덕포동,주례동1지구,20140825,20140825,1500,1700,2,0,2,7,4.5,5.81
90573,2638000000,사하구,하단동,하단동지구,20140825,20140825,1500,1800,3,0,15,30,22.5,3.46
90574,2635000000,해운대구,송정동,반송1지구,20140825,20140825,1500,1900,4,0,7,15,11,26.9
90575,2635000000,해운대구,송정동,반송2지구,20140825,20140825,1500,1900,4,0,7,15,11,23.75
90576,2635000000,해운대구,반송동,반여1지구,20140825,20140825,1500,1900,4,0,30,60,45,3.4
90577,2635000000,해운대구,반송동,반여2지구,20140825,20140825,1500,1900,4,0,15,30,22.5,32.86
90578,2635000000,해운대구,반여동,반여3/4지구,20140825,20140825,1500,1900,4,0,2,7,4.5,2.67
90579,2635000000,해운대구,반여동,반여5지구,20140825,20140825,1500,1900,4,0,15,30,22.5,7.67
90580,2635000000,해운대구,반여동,석대1지구,20140825,20140825,1500,1900,4,0,30,60,45,14.76
90581,2635000000,해운대구,반여동,석대2/3지구,20140825,20140825,1500,1900,4,0,7,15,11,11.01
90582,2635000000,해운대구,석대동,석대4지구,20140825,20140825,1500,1900,4,0,30,60,45,6.28
90588,2632000000,북구,화명동,화명1지구,20140825,20140825,1400,1600,2,0,30,60,45,8.91
90589,2632000000,북구,화명동,화명2/3지구,20140825,20140825,1400,1600,2,0,15,30,22.5,32.29
90591,2632000000,북구,화명동,화명4지구,20140825,20140825,1400,1600,2,0,30,60,45,46.85
90592,2632000000,북구,화명동,화명5지구,20140825,20140825,1400,1600,2,0,30,60,45,139.74
90593,2632000000,북구,구포동,덕천1지구,20140825,20140825,1400,1600,2,0,30,60,45,9.97
90594,2632000000,북구,구포동,덕천2지구,20140825,20140825,1400,1600,2,0,15,30,22.5,4.51
90595,2632000000,북구,구포동,덕천3지구,20140825,20140825,1400,1600,2,0,30,60,45,108.52
90596,2632000000,북구,덕천동,구포1지구,20140825,20140825,1400,1600,2,0,7,15,11,3.88
90597,2632000000,북구,덕천동,구포2지구,20140825,20140825,1400,1600,2,0,2,7,4.5,5.3
90598,2632000000,북구,덕천동,구포3지구,20140825,20140825,1400,1600,2,0,60,100,80,171.04
90599,2644000000,강서구,대저1동,대저1지구,20140825,20140825,1400,1700,3,0,0,2,1,2.05
90645,2614000000,서구,암남동,암남공원,20161005,20161005,900,1100,2,0,60,100,80,6.74
90646,2644000000,강서구,대저2동,대저2지구,20140825,20140825,1400,1700,3,0,0,2,1,1.18
90647,2614000000,서구,암남동,송도해수욕장,20161005,20161005,900,1100,2,0,30,60,45,1.92
90653,2635000000,해운대구,우동,송정2지구,20161005,20161005,900,1100,2,0,15,30,22.5,3.47
90654,2635000000,해운대구,석대동,송정1지구,20161005,20161005,900,1100,2,0,7,15,11,2.1
90659,2635000000,해운대구,중동,우동1지구,20161005,20161005,900,1100,2,0,0,2,1,4.97
90666,2635000000,해운대구,반여동,송정3지구,20161005,20161005,900,1100,2,0,30,60,45,3.92
90667,2635000000,해운대구,송정동,중동2지구,20161005,20161005,900,1100,2,0,15,30,22.5,6.67
90668,2635000000,해운대구,중동,중동1지구,20161005,20161005,900,1100,2,0,15,30,22.5,6.67
90669,2635000000,해운대구,석대동,반여1지구,20161005,20161005,900,1100,2,0,30,60,45,3.4
90673,2650000000,수영구,수영동,민락1지구,20161005,20161005,900,1100,2,0,7,15,11,2.88
90710,2638000000,사하구,다대동,다대동지구,20161005,20161005,900,1200,3,0,7,15,11,2.94
90711,2638000000,사하구,하단동,하단중학교일원,20161005,20161005,900,1200,3,0,15,30,22.5,2.4
90731,2638000000,사하구,하단동,하단교차로 일원,20161005,20161005,900,1200,3,0,15,30,22.5,1.99
90732,2638000000,사하구,하단동,구평동지구,20161005,20161005,900,1200,3,0,2,7,4.5,14.55
90745,2638000000,사하구,구평동,대진아파트 일원,20161005,20161005,900,1200,3,0,2,7,4.5,2.52
90920,2647000000,연제구,거제동,거제1지구,20170911,20170911,730,830,1,0,15,30,22.5,5.75
90921,2647000000,연제구,거제동,거제2지구,20170911,20170911,730,830,1,0,7,15,11,6.2
90922,2650000000,수영구,광안동,광안1지구,20170911,20170911,730,830,1,0,7,15,11,2.94
90923,2650000000,수영구,민락동,광안2지구,20170911,20170911,730,830,1,0,15,30,22.5,2.01
90973,2650000000,수영구,광안동,망미1지구,20170911,20170911,730,830,1,0,7,15,11,3.38
90974,2650000000,수영구,망미동,망미2지구,20170911,20170911,730,830,1,0,7,15,11,4.31
90997,2650000000,수영구,망미동,민락1지구,20170911,20170911,730,830,1,0,7,15,11,5.8
91028,2647000000,연제구,연산동,연산1지구,20170911,20170911,730,830,1,0,15,30,22.5,6.3
91029,2647000000,연제구,연산동,연산2지구,20170911,20170911,730,830,1,0,15,30,22.5,6.41
91030,2647000000,연제구,연산동,연산3지구,20170911,20170911,730,830,1,0,15,30,22.5,3.43
101468,2617000000,동구,범일동,부산진시장일원,20170911,20170911,800,1100,3,0,7,15,11,2.62
101469,2617000000,동구,범일동,부산진시장,20170911,20170911,800,1100,3,0,7,15,11,2.96
101470,2617000000,동구,범일동,자성대아파트,20170911,20170911,800,1100,3,0,7,15,11,1.57
101471,2617000000,동구,범일동,부산진시장,20170911,20170911,800,900,3,0,7,15,11,2.96
101472,2617000000,동구,범일동,부산진시장,20170911,20170911,800,1100,3,0,7,15,11,2.96
101619,2620000000,영도구,동삼동,영도구 동삼동 감지해변,20181006,20181006,900,1100,2,0,2,7,4.5,31.3
101977,2644000000,강서구,대저1동,대저1지구,20190719,20190720,2300,1200,13,0,0,2,1,1.82
101997,2600000000,연제구,연산동,신금로 지구,20190720,20190720,1000,1500,5,0,7,15,11,3.66
101998,2647000000,연제구,연산동,신금로 침수,20190720,20190720,1000,1500,5,0,7,15,11,3.66
101999,2644000000,강서구,대저1동,대저1-2지구,20190719,20190720,2300,1200,13,0,0,2,1,1.77
102000,2644000000,강서구,대저2동,대저2지구,20190719,20190720,2300,1200,13,0,0,2,1,1.18
102001,2644000000,강서구,대저2동,강동1지구,20190719,20190720,2300,1200,13,0,0,2,1,1.57
