Dong,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
가야동,0.15534623641235712,0.15534623641235712,0.15534623641235712,0.15534623641235712,0.15534623641235712,0.15534623641235712,0.15534623641235712,0.16682756501656343,0.18498524250956355,0.15534623641235712,0.15898360109221316,0.15534623641235712,0.15898360109221316,0.16280808563163512,0.16280808563163512,0.45418027549311707,0.5372313065275737,0.4601296991727677,0.16682756501656343,0.5142928007147151,0.5142928007147151,0.795083616107029,0.7663724782544872,0.7465508842777536,0.6692194782549405,0.5372313065275737,0.15534623641235712,0.15534623641235712
감전동,0.11876486850746752,0.11876486850746752,0.11876486850746752,0.11876486850746752,0.11876486850746752,0.11876486850746752,0.11876486850746752,0.12621009688524537,0.14704873529969167,0.11876486850746752,0.1224245469931599,0.11876486850746752,0.1224245469931599,0.1224245469931599,0.12621009688524537,0.14704873529969167,0.1659528826525289,0.13416304475591068,0.1224245469931599,0.13012270286641067,0.13416304475591068,0.8258440751743308,0.802098245374299,0.7641447131942872,0.26744723629908823,0.11876486850746752,0.11876486850746752,0.11876486850746752
감천동,0.07714214561934321,0.07714214561934321,0.07714214561934321,0.07714214561934321,0.07714214561934321,0.07714214561934321,0.07914766035875061,0.08325277870936365,0.0896352082563788,0.07914766035875061,0.07714214561934321,0.07914766035875061,0.07914766035875061,0.07914766035875061,0.08118475431209887,0.28665308931776307,0.29387674976489986,0.09403074581527049,0.0896352082563788,0.09626804544414652,0.27728748496075706,0.676721121590247,0.6559402574366731,0.33137765051289253,0.9071648469869689,0.6580147616646205,0.33137765051289253,0.07714214561934321
거제동,0.10731069682654668,0.10324361874652879,0.10324361874652879,0.10324361874652879,0.10324361874652879,0.10324361874652879,0.10324361874652879,0.10324361874652879,0.12467655299049712,0.10731069682654668,0.10324361874652879,0.10731069682654668,0.10731069682654668,0.10731069682654668,0.11149505321838257,0.5778078450611182,0.31004078074756203,0.5672307211897922,0.5778078450611182,0.32798186997665696,0.5720854651041989,0.7991924273316897,0.836408418170433,0.7748824104210328,0.7848003271106084,0.10731069682654668,0.10324361874652879,0.10324361874652879
광안동,0.13748870344436692,0.13369513427891744,0.13369513427891744,0.13369513427891744,0.13369513427891744,0.13369513427891744,0.13369513427891744,0.13369513427891744,0.19477127943268147,0.13369513427891744,0.13748870344436692,0.13748870344436692,0.13369513427891744,0.14133180026320927,0.14133180026320927,0.5578288962595098,0.3398629438133667,0.6286886117281185,0.33179054817309844,0.6946256208374447,0.6345926644654682,0.696955353372535,0.9043675450217771,0.6256298469640371,0.6823326187409379,0.13369513427891744,0.13369513427891744,0.13369513427891744
괘법동,0.11974531328218205,0.11974531328218205,0.11974531328218205,0.11974531328218205,0.11974531328218205,0.11974531328218205,0.11974531328218205,0.12731234340144723,0.14849146892763543,0.11974531328218205,0.12346471075718127,0.11974531328218205,0.12346471075718127,0.12346471075718127,0.12731234340144723,0.14849146892763543,0.16768949626743423,0.13539602945497112,0.12346471075718127,0.13128927409926444,0.13539602945497112,0.8275116934129768,0.8041274012574415,0.7665907324651022,0.2697386150244689,0.11974531328218205,0.11974531328218205,0.11974531328218205
괴정동,0.06370422238418558,0.06370422238418558,0.06370422238418558,0.06370422238418558,0.06370422238418558,0.06370422238418558,0.06569447807481947,0.06980222517552714,0.07627325520546,0.06569447807481947,0.06370422238418558,0.06569447807481947,0.06569447807481947,0.06569447807481947,0.06772731164109137,0.17269571752989282,0.18040258693282443,0.08078494161903968,0.07627325520546,0.08309741114077779,0.1628304258477434,0.49951992995036615,0.6325802885471818,0.22197269415943754,0.7651014425079996,0.43443415246798234,0.22197269415943754,0.06370422238418558
구서동,0.11540695808931534,0.11540695808931534,0.15794196794448007,0.11540695808931534,0.11540695808931534,0.11540695808931534,0.11540695808931534,0.15794196794448007,0.16063312608336677,0.11540695808931534,0.15882461090832,0.15794196794448007,0.15794196794448007,0.1597216375657942,0.15882461090832,0.38659021535703864,0.16345505331268967,0.3876343154050926,0.1615591486433552,0.16345505331268967,0.3897671467332758,0.44930016573736065,0.6097119530205941,0.3976989028609068,0.6297814488934175,0.15794196794448007,0.11540695808931534,0.11540695808931534
구평동,0.15462225515424466,0.15462225515424466,0.15462225515424466,0.15462225515424466,0.15462225515424466,0.15462225515424466,0.15793373794180304,0.16464645643904718,0.17491030997890053,0.15793373794180304,0.15462225515424466,0.15793373794180304,0.15793373794180304,0.15793373794180304,0.1612757753508059,0.3436079469235732,0.3539703762867339,0.1818584095152585,0.17491030997890053,0.18535760247698027,0.4748025225804506,0.8554843076649865,0.9117550227925978,0.6681136857507806,0.9785891558741023,0.8375636339215476,0.6681136857507806,0.15462225515424466
구포동,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20419592081336246,0.21354182291556278,0.20269801410480986,0.20269801410480986,0.20269801410480986,0.20419592081336246,0.20571127226677224,0.20419592081336246,0.2151569396896284,0.2151569396896284,0.21354182291556278,0.20571127226677224,0.20879344742412065,0.20879344742412065,0.4732556133633445,0.43051618856791873,0.4399988709069552,0.43051618856791873,0.20269801410480986,0.20269801410480986,0.20269801410480986
